Item Name,Item Category,Unit Price ($),Discount ($),Tax ($),Time
T-shirt,Retail,10.09,2.07,1.14,2021-03-06 06:11:57
T-shirt,Retail,98.66,16.23,10.99,2020-06-23 05:34:51
T-shirt,Retail,220.42,7.25,20.36,2022-05-17 02:31:04
Smartphone,Electronics,435.2,41.45,51.03,2022-07-29 16:23:09
Coffee,Food Services,499.25,148.55,22.61,2022-12-05 01:58:01
Hammer,Home Improvement,487.68,70.49,26.69,2020-08-27 01:01:07
Nails,Home Improvement,281.43,1.58,17.86,2022-12-27 10:45:19
Nails,Home Improvement,28.43,7.74,2.42,2021-11-24 02:12:49
Nails,Home Improvement,337.94,76.89,32.16,2021-09-11 11:28:50
Jeans,Retail,477.76,141.39,48.82,2020-10-14 23:29:34
Jeans,Retail,448.09,28.2,51.21,2021-10-17 02:16:34
Coffee,Food Services,284.91,75.72,25.9,2021-11-01 15:33:27
Smartphone,Electronics,77.58,4.68,7.87,2020-09-28 10:40:30
Burger,Food Services,465.66,124.56,27.85,2021-01-20 04:31:54
T-shirt,Retail,441.63,102.95,32.26,2021-12-05 09:43:50
Smartphone,Electronics,246.09,59.72,18.94,2021-06-12 18:34:50
T-shirt,Retail,222.39,35.64,16.83,2022-03-23 23:51:06
Jeans,Retail,464.98,138.37,41.01,2020-08-09 11:18:04
Hammer,Home Improvement,107.81,29.41,7.58,2021-07-06 01:03:31
T-shirt,Retail,202.18,44.84,20.89,2021-12-19 08:50:22
Burger,Food Services,459.78,24.67,30.04,2022-09-08 00:39:26
Burger,Food Services,312.64,86.78,13.05,2022-09-17 00:23:51
T-shirt,Retail,251.8,38.24,23.22,2020-05-14 08:55:52
Burger,Food Services,331.02,12.06,45.83,2022-01-20 18:16:55
Smartphone,Electronics,484.34,16.89,67.26,2020-11-12 08:14:45
Hammer,Home Improvement,351.8,104.97,31.83,2021-04-02 20:16:06
Nails,Home Improvement,441.64,78.34,23.51,2020-01-03 20:43:04
Coffee,Food Services,323.4,35.53,17.15,2022-12-21 20:17:59
Laptop,Electronics,63.68,10.96,5.39,2021-11-28 15:13:41
Coffee,Food Services,381.98,65.33,34.93,2022-08-19 04:07:55
Nails,Home Improvement,71.03,17.9,3.16,2021-12-18 17:00:46
Coffee,Food Services,470.28,18.38,64.38,2020-01-13 01:56:04
T-shirt,Retail,138.54,28.11,7.39,2020-12-05 19:00:05
Jeans,Retail,273.57,61.93,18.97,2021-04-08 19:07:41
Hammer,Home Improvement,95.12,12.42,6.19,2020-06-26 19:16:28
Jeans,Retail,463.16,81.87,31.58,2022-09-03 23:51:04
Laptop,Electronics,304.4,27.12,24.5,2021-04-12 20:01:12
Hammer,Home Improvement,173.09,8.78,9.69,2022-04-26 22:49:54
T-shirt,Retail,471.97,0.88,61.79,2022-08-04 07:09:02
Burger,Food Services,428.35,94.4,50.09,2020-08-30 16:20:42
Jeans,Retail,340.38,46.38,40.28,2021-10-20 23:39:37
Nails,Home Improvement,395.84,97.28,23.04,2022-01-02 08:22:04
T-shirt,Retail,15.54,4.0,1.51,2020-05-23 18:37:39
Laptop,Electronics,405.72,16.05,51.38,2022-11-19 12:20:10
Jeans,Retail,149.62,6.98,18.55,2022-02-12 02:50:24
Hammer,Home Improvement,304.9,83.0,20.28,2020-12-26 23:06:36
Hammer,Home Improvement,150.06,8.03,15.31,2022-04-24 16:07:37
Burger,Food Services,40.05,10.39,3.0,2021-09-21 14:52:10
Laptop,Electronics,435.06,120.55,35.9,2021-03-11 02:27:06
Burger,Food Services,453.76,111.81,28.71,2022-09-08 21:06:48
Jeans,Retail,491.5,24.85,27.18,2020-02-03 14:01:44
Coffee,Food Services,57.07,8.19,6.86,2020-07-06 16:55:44
Coffee,Food Services,14.83,3.81,0.91,2021-02-23 13:15:09
Jeans,Retail,295.37,39.25,26.1,2022-11-04 11:03:50
Hammer,Home Improvement,156.45,20.92,19.14,2020-03-03 23:42:23
Coffee,Food Services,438.16,96.86,33.23,2020-01-01 09:26:25
Smartphone,Electronics,495.45,118.91,49.39,2021-02-02 13:50:23
Coffee,Food Services,477.3,80.58,31.49,2021-09-10 22:29:42
Burger,Food Services,89.35,19.21,4.91,2022-03-28 06:30:02
Nails,Home Improvement,176.9,20.06,12.58,2022-06-22 12:13:22
T-shirt,Retail,355.66,66.46,19.31,2021-09-07 12:42:39
Smartphone,Electronics,14.82,4.23,1.4,2021-11-21 15:18:48
Burger,Food Services,463.38,57.23,23.43,2020-06-07 12:01:06
Coffee,Food Services,268.31,17.38,31.18,2021-01-27 09:54:43
Nails,Home Improvement,386.6,94.0,19.3,2021-07-03 15:26:29
Hammer,Home Improvement,437.14,57.43,28.86,2021-03-16 05:47:14
Hammer,Home Improvement,247.31,1.25,13.5,2022-11-10 18:23:02
Coffee,Food Services,86.5,19.58,4.68,2020-10-31 12:33:40
T-shirt,Retail,287.87,85.67,11.88,2022-07-13 22:29:26
Jeans,Retail,423.1,102.52,16.06,2020-05-12 10:41:41
Jeans,Retail,328.13,88.04,31.02,2020-02-25 01:42:28
T-shirt,Retail,7.08,0.88,0.35,2020-04-19 10:46:39
T-shirt,Retail,413.49,42.92,22.25,2021-02-11 18:13:00
Burger,Food Services,176.7,38.34,18.5,2021-04-19 17:44:25
Smartphone,Electronics,5.23,0.37,0.45,2022-04-08 23:29:27
Laptop,Electronics,147.66,0.19,17.55,2021-06-12 00:01:58
Laptop,Electronics,269.43,52.37,11.15,2020-07-02 14:14:58
Hammer,Home Improvement,399.0,15.25,33.91,2022-04-03 14:44:44
Burger,Food Services,367.27,71.72,17.96,2021-01-21 21:08:48
Hammer,Home Improvement,197.86,48.46,10.03,2020-09-11 01:45:48
Smartphone,Electronics,14.12,1.35,1.17,2020-04-15 18:41:23
Coffee,Food Services,461.65,112.4,38.27,2021-10-06 09:59:53
Hammer,Home Improvement,208.18,32.03,19.91,2021-03-26 00:29:55
Coffee,Food Services,169.81,37.08,14.17,2021-03-15 05:36:19
Coffee,Food Services,18.8,0.67,2.28,2022-03-18 12:49:12
Jeans,Retail,366.72,87.39,19.01,2020-07-27 19:33:37
Smartphone,Electronics,138.58,39.3,12.88,2022-06-10 15:35:33
Nails,Home Improvement,378.63,110.72,36.37,2022-03-23 13:05:22
Laptop,Electronics,81.99,9.35,5.24,2022-09-01 05:27:44
Smartphone,Electronics,65.24,12.37,7.32,2020-11-22 15:44:41
Jeans,Retail,459.57,88.7,38.01,2022-04-05 11:07:33
Coffee,Food Services,256.99,37.49,23.53,2020-06-12 14:06:25
Nails,Home Improvement,270.61,12.44,17.17,2021-09-30 03:54:06
Hammer,Home Improvement,160.25,6.31,22.53,2022-09-12 19:22:46
Burger,Food Services,273.7,21.05,31.97,2022-04-24 09:52:33
Jeans,Retail,69.72,10.77,7.16,2021-09-18 16:19:19
T-shirt,Retail,389.98,100.79,36.85,2021-03-08 19:30:18
Coffee,Food Services,295.08,17.1,32.42,2021-03-30 00:01:30
T-shirt,Retail,246.55,61.48,10.33,2021-11-18 04:32:53
T-shirt,Retail,348.86,37.59,21.63,2021-07-31 13:52:11
Jeans,Retail,117.07,34.39,5.78,2022-06-01 17:15:34
Smartphone,Electronics,61.72,18.22,5.07,2022-09-03 19:46:11
Jeans,Retail,451.93,3.64,46.33,2020-08-02 02:01:54
Hammer,Home Improvement,267.79,55.02,16.04,2020-08-31 23:59:34
Coffee,Food Services,256.08,56.58,27.91,2020-07-10 12:53:26
Nails,Home Improvement,250.56,31.74,23.04,2022-12-18 19:14:02
Burger,Food Services,74.55,2.73,8.85,2020-07-06 05:13:52
T-shirt,Retail,87.81,23.7,4.79,2021-08-15 12:39:26
Coffee,Food Services,39.77,9.55,2.59,2021-09-15 06:26:12
T-shirt,Retail,465.54,129.66,50.25,2022-07-07 04:24:22
Burger,Food Services,232.33,43.73,18.99,2021-12-27 22:10:25
Nails,Home Improvement,467.04,64.58,51.03,2020-08-04 18:10:15
Jeans,Retail,410.94,38.41,23.88,2022-05-19 07:53:25
Hammer,Home Improvement,205.93,49.42,15.08,2022-11-04 02:28:42
Burger,Food Services,35.0,1.19,3.02,2021-04-09 10:05:02
T-shirt,Retail,313.26,39.97,30.8,2021-07-04 00:14:01
T-shirt,Retail,490.23,133.76,38.0,2022-09-08 22:49:25
Smartphone,Electronics,493.11,61.01,37.5,2022-01-04 06:14:59
Coffee,Food Services,82.36,16.1,9.61,2021-10-06 20:19:32
Burger,Food Services,148.68,21.65,9.48,2020-12-04 16:00:01
Burger,Food Services,465.77,83.68,26.25,2022-01-10 13:13:57
Jeans,Retail,91.51,18.07,3.83,2022-01-29 09:57:11
Burger,Food Services,52.32,4.94,6.59,2022-12-15 04:07:49
Nails,Home Improvement,367.63,98.38,39.58,2022-02-18 03:46:44
Nails,Home Improvement,368.37,52.77,35.2,2021-05-09 08:51:13
Laptop,Electronics,143.94,38.06,6.25,2022-02-04 09:55:25
Hammer,Home Improvement,317.31,38.46,28.23,2022-10-09 22:21:10
Jeans,Retail,110.66,19.53,7.66,2020-04-03 13:14:34
Nails,Home Improvement,401.88,54.27,21.81,2021-11-20 16:50:22
Nails,Home Improvement,220.19,46.82,25.8,2021-04-11 07:42:49
Jeans,Retail,127.86,0.69,15.67,2020-08-09 20:23:45
Coffee,Food Services,408.0,89.44,47.06,2022-02-08 18:26:29
Smartphone,Electronics,101.47,11.99,10.1,2020-03-22 09:49:57
T-shirt,Retail,200.85,36.32,17.19,2022-08-22 21:51:34
Nails,Home Improvement,157.81,20.55,8.14,2020-12-01 02:23:55
Burger,Food Services,26.32,7.22,1.51,2020-02-09 16:27:13
Coffee,Food Services,377.16,40.9,50.31,2021-07-06 02:19:23
Nails,Home Improvement,382.19,76.56,24.98,2022-01-02 11:52:13
T-shirt,Retail,11.35,1.57,1.11,2021-08-30 08:16:14
Smartphone,Electronics,107.69,23.43,8.03,2020-01-16 16:55:53
Burger,Food Services,432.77,21.64,61.32,2022-03-29 09:34:19
Hammer,Home Improvement,46.82,10.78,4.21,2020-04-13 05:41:24
Coffee,Food Services,248.7,23.29,29.1,2022-12-03 01:19:29
Jeans,Retail,492.72,113.74,37.79,2020-05-06 09:48:06
Hammer,Home Improvement,122.65,27.27,13.95,2022-12-02 02:59:19
Nails,Home Improvement,71.07,0.89,7.44,2022-11-05 06:24:37
Smartphone,Electronics,227.13,30.66,10.1,2021-09-05 18:58:19
Jeans,Retail,351.93,22.25,36.61,2020-01-10 23:29:01
T-shirt,Retail,336.73,60.09,34.79,2021-07-15 05:25:55
Laptop,Electronics,285.75,21.21,23.61,2020-03-04 23:13:19
T-shirt,Retail,369.23,90.96,29.87,2020-06-29 10:27:51
T-shirt,Retail,481.5,74.21,38.78,2022-08-22 11:57:54
Nails,Home Improvement,458.16,112.19,28.46,2020-01-06 19:27:03
Nails,Home Improvement,358.39,93.11,32.98,2021-02-23 22:32:54
Nails,Home Improvement,420.71,125.69,24.46,2022-09-21 18:50:41
Nails,Home Improvement,279.06,47.79,27.01,2022-12-22 22:10:39
Hammer,Home Improvement,10.02,2.25,0.47,2021-03-30 10:10:31
Hammer,Home Improvement,250.32,17.76,31.56,2020-12-18 03:30:17
T-shirt,Retail,392.37,31.09,52.2,2020-08-06 12:55:21
Smartphone,Electronics,302.1,82.26,17.74,2022-06-08 21:24:30
Hammer,Home Improvement,379.53,65.61,34.64,2021-03-23 06:35:19
T-shirt,Retail,54.26,11.29,2.81,2020-10-24 00:36:52
Laptop,Electronics,131.87,13.79,13.28,2020-06-12 19:50:37
Coffee,Food Services,355.1,58.72,28.28,2021-11-05 05:23:52
T-shirt,Retail,238.4,5.94,27.59,2021-12-16 23:24:25
Burger,Food Services,276.84,64.41,18.27,2021-05-27 22:35:26
Jeans,Retail,180.63,20.8,13.45,2021-08-19 17:24:36
T-shirt,Retail,441.79,5.87,43.78,2020-09-18 09:00:57
Jeans,Retail,462.46,105.14,40.26,2021-05-28 17:13:21
Nails,Home Improvement,492.69,51.59,22.93,2021-10-17 02:29:03
Laptop,Electronics,415.7,21.67,55.12,2022-10-03 15:22:32
T-shirt,Retail,347.61,51.22,28.02,2022-12-03 22:48:10
Coffee,Food Services,174.44,12.21,22.29,2021-11-07 04:03:07
Hammer,Home Improvement,190.64,45.3,16.66,2020-08-17 22:33:32
Hammer,Home Improvement,162.89,33.14,12.45,2021-11-25 20:15:01
T-shirt,Retail,106.89,5.65,6.1,2020-08-17 03:13:31
Smartphone,Electronics,281.42,22.32,16.51,2022-03-25 06:10:15
Hammer,Home Improvement,129.56,20.39,13.91,2021-05-06 00:00:25
T-shirt,Retail,401.21,40.14,39.15,2020-07-19 17:47:02
T-shirt,Retail,167.86,2.38,16.88,2020-11-20 11:05:31
Laptop,Electronics,262.14,1.4,34.36,2020-10-17 05:19:11
Jeans,Retail,22.28,6.49,1.11,2021-11-20 22:09:19
Nails,Home Improvement,281.15,2.54,34.36,2021-06-26 09:53:49
Jeans,Retail,75.7,16.25,6.37,2021-08-27 02:18:56
Laptop,Electronics,217.32,29.12,12.65,2021-10-25 18:32:00
Jeans,Retail,476.87,42.28,58.58,2022-02-03 05:32:35
Jeans,Retail,313.5,21.54,14.76,2021-08-28 02:58:12
Nails,Home Improvement,68.74,20.08,4.04,2020-12-08 00:08:30
Burger,Food Services,10.67,2.54,1.17,2020-10-31 18:40:02
Burger,Food Services,40.19,1.82,2.63,2021-11-13 09:14:54
Smartphone,Electronics,10.35,0.89,1.21,2020-11-13 07:41:22
Hammer,Home Improvement,119.39,32.93,7.5,2022-06-30 03:25:58
Jeans,Retail,171.83,50.84,14.23,2020-03-18 08:25:38
Jeans,Retail,183.26,22.51,13.84,2021-08-26 06:38:52
T-shirt,Retail,400.11,25.54,38.37,2020-02-21 16:44:24
Burger,Food Services,469.56,71.22,56.72,2020-12-29 13:14:35
Jeans,Retail,291.36,48.91,27.17,2022-09-10 14:30:17
Burger,Food Services,179.48,25.2,14.6,2020-05-11 12:14:38
Smartphone,Electronics,209.88,6.13,13.24,2020-10-17 02:45:48
Burger,Food Services,168.74,39.01,11.34,2021-07-18 20:22:10
Jeans,Retail,134.77,26.78,14.25,2020-03-29 12:45:32
Smartphone,Electronics,483.44,28.97,49.18,2022-09-18 05:06:32
Smartphone,Electronics,329.78,58.04,20.22,2022-11-18 10:45:18
Hammer,Home Improvement,183.42,1.7,16.52,2020-09-26 07:50:46
Nails,Home Improvement,420.7,125.7,23.29,2020-12-28 01:15:43
Coffee,Food Services,216.01,56.44,17.77,2022-08-06 19:31:27
Smartphone,Electronics,307.63,44.76,37.95,2021-04-07 04:37:01
Smartphone,Electronics,491.39,137.01,19.88,2022-08-09 11:54:24
Burger,Food Services,84.51,21.05,3.95,2020-05-14 13:47:15
